id,TransactID,PIN,EventID,LAID,LID,PTID,UserID,created_at,updated_at
,1198,944,2,2,,,1,,
,1379,944,8,4,,9,1,,
,152,945,5,8,,,1,,
,428,945,3,8,,,1,,
,839,945,4,8,,,1,,
,1085,945,1,8,,,1,,
,1199,945,2,8,,,1,,
,2757,945,14,5,,8,1,,
,3229,945,18,5,,8,1,,
,57,946,7,6,,,1,,
,1086,946,1,6,,,1,,
,324,947,1,6,,,1,,
,325,948,1,6,,,1,,
,326,949,1,9,,,1,,
,360,949,3,9,,,1,,
,718,949,5,9,,,1,,
,1124,949,2,9,,,1,,
,1276,949,8,9,,1,1,,
,2814,949,14,9,,1,1,,
,327,950,1,11,,,1,,
,361,950,3,11,,,1,,
,1125,950,2,11,,,1,,
,1378,950,8,11,,14,1,,
,329,952,1,1,,,1,,
,330,953,1,10,,,1,,
,331,954,1,2,,,1,,
,362,954,3,2,,,1,,
,1126,954,2,2,,,1,,
,1691,954,11,0,,20,1,,
,3,955,7,10,,8,1,,
,20,955,6,10,,8,1,,
,299,955,4,10,,8,1,,
,332,955,1,10,,8,1,,
,363,955,3,10,,8,1,,
,719,955,5,10,,8,1,,
,1127,955,2,10,,8,1,,
,1213,955,8,12,,10,1,,
,1410,955,10,12,,10,1,,
,1789,955,12,12,,10,1,,
,2785,955,14,12,,10,1,,
,10401,955,29,28,,27,1,,
,14522,955,39,0,,27,1,,
,333,956,1,3,,,1,,
,364,956,3,3,,,1,,
,720,956,5,3,,,1,,
,1128,956,2,3,,,1,,
,1540,956,10,10,,8,1,,
,334,957,1,4,,,1,,
,365,957,3,4,,,1,,
,1129,957,2,4,,,1,,
,335,958,1,7,,,1,,
,366,958,3,7,,,1,,
,1130,958,2,7,,,1,,
,1247,958,8,7,,1,1,,
,1510,958,10,7,,1,1,,
,2749,958,14,7,,1,1,,
,3245,958,18,7,,1,1,,
,9609,958,40,7,,1,1,,
,336,959,1,7,,,1,,
,367,959,3,7,,,1,,
,1131,959,2,7,,,1,,
,1248,959,8,7,,1,1,,
,1509,959,10,7,,1,1,,
,2809,959,14,7,,1,1,,
,3246,959,18,7,,1,1,,
,9610,959,40,7,,1,1,,
,368,961,3,11,,,1,,
,721,961,5,11,,,1,,
,959,961,1,11,,,1,,
,1132,961,2,11,,,1,,
,1293,961,8,11,,1,1,,
,4,962,7,12,,,1,,
,21,962,6,12,,,1,,
,318,962,4,12,,,1,,
,369,962,3,12,,,1,,
,722,962,5,12,,,1,,
,960,962,1,12,,,1,,
,1133,962,2,12,,,1,,
,1214,962,8,12,,10,1,,
,1411,962,10,12,,10,1,,
,1720,962,11,0,,10,1,,
,1787,962,12,12,,10,1,,
,2784,962,14,12,,10,1,,
,3488,962,38,0,,27,1,,
,4402,962,31,5,,27,1,,
,4499,962,29,5,,27,1,,
,5017,962,34,13,23,27,1,,
,9711,962,45,0,,27,1,,
,14457,962,35,12,,27,1,,
,14492,962,36,12,21,27,1,,
,16015,962,33,12,21,27,1,,
,961,963,1,5,,,1,,
,962,964,1,5,,,1,,
,963,965,1,8,,,1,,
,1134,965,2,8,,,1,,
,1335,965,8,8,,1,1,,
,1487,965,10,8,,1,1,,
,2765,965,14,8,,1,1,,
,3176,965,18,8,,1,1,,
,170,966,7,6,,,1,,
,291,966,4,6,,,1,,
,370,966,3,6,,,1,,
,964,966,1,6,,,1,,
,1135,966,2,6,,,1,,
,1382,966,8,6,,1,1,,
,1442,966,10,6,,1,1,,
,14453,966,35,6,,1,1,,
,52,967,7,12,,,1,,
,191,967,6,12,,,1,,
,371,967,3,12,,,1,,
,723,967,5,12,,,1,,
,965,967,1,12,,,1,,
,1136,967,2,12,,,1,,
,1215,967,8,21,,5,1,,
,1412,967,10,21,,5,1,,
,1725,967,11,0,,10,1,,
,2780,967,14,5,,5,1,,
,3233,967,18,5,,5,1,,
,3495,967,38,0,,3,1,,
,9599,967,29,21,,5,1,,
,372,968,3,4,,,1,,
,724,968,5,4,,,1,,
,966,968,1,4,,,1,,
,967,969,1,5,,,1,,
,1076,969,1,5,,,1,,
,373,970,3,2,,,1,,
,968,970,1,2,,,1,,
,1137,970,2,2,,,1,,
,374,971,3,1,,,1,,
,835,971,4,1,,,1,,
,969,971,1,1,,,1,,
,972,974,1,9,,,1,,
,973,975,1,8,,1,1,,
,1480,975,10,8,,1,1,,
,10412,975,29,28,,20,1,,
,974,976,1,3,,,1,,
,975,977,1,1,,,1,,
,5,978,7,12,,,1,,
,22,978,6,12,,,1,,
,300,978,4,12,,,1,,
,375,978,3,12,,,1,,
,725,978,5,12,,,1,,
,976,978,1,12,,,1,,
,1139,978,2,12,,,1,,
,1216,978,8,12,,15,1,,
,1413,978,10,12,,15,1,,
,1729,978,11,0,,10,1,,
,1788,978,12,12,,10,1,,
,2512,978,15,0,,10,1,,
,2781,978,14,12,,10,1,,
,3489,978,38,0,,27,1,,
,5018,978,34,13,23,27,1,,
,9712,978,45,0,,27,1,,
,14402,978,29,2,,27,1,,
,14415,978,31,2,,27,1,,
,14437,978,32,2,,27,1,,
,14458,978,35,12,,27,1,,
,14491,978,36,12,21,27,1,,
,14521,978,39,0,,27,1,,
,16017,978,33,12,21,27,1,,
,977,980,1,5,,,1,,
,167,981,5,7,,,1,,
,193,981,6,7,,,1,,
,340,981,2,7,,,1,,
,445,981,3,7,,,1,,
,1104,981,1,7,,,1,,
,168,982,5,7,,,1,,
,341,982,2,7,,,1,,
,446,982,3,7,,,1,,
,1105,982,1,7,,,1,,
,1354,982,8,7,,12,1,,
,1504,982,10,7,,12,1,,
,1795,982,12,7,,12,1,,
,2807,982,14,7,,12,1,,
,9677,982,44,6,,23,1,,
,74,983,7,4,,,1,,
,153,983,5,4,,,1,,
,197,983,6,4,,,1,,
,302,983,4,4,,,1,,
,429,983,3,4,,,1,,
,1087,983,1,4,,,1,,
,1200,983,2,4,,,1,,
,75,984,7,7,,,1,,
,154,984,5,7,,,1,,
,207,984,6,7,,,1,,
,303,984,4,7,,,1,,
,430,984,3,7,,,1,,
,1088,984,1,7,,,1,,
,1201,984,2,7,,,1,,
,1217,984,8,7,,5,1,,
,1414,984,10,7,,5,1,,
,1794,984,12,7,,5,1,,
,2750,984,14,7,,5,1,,
,3235,984,18,7,,5,1,,
,3491,984,38,0,,3,1,,
,8499,984,29,7,,5,1,,
,9687,984,44,5,,14,1,,
,76,985,7,6,,,1,,
,155,985,5,6,,,1,,
,208,985,6,6,,,1,,
,316,985,4,6,,,1,,
,431,985,3,6,,,1,,
,1089,985,1,6,,,1,,
,1202,985,2,6,,,1,,
,77,986,7,9,,,1,,
,156,986,5,9,,,1,,
,304,986,4,9,,,1,,
,432,986,3,9,,,1,,
,1090,986,1,9,,,1,,
,1203,986,2,9,,,1,,
,1219,986,8,9,,5,1,,
,1415,986,10,9,,5,1,,
,1723,986,11,0,,10,1,,
,1791,986,12,9,,5,1,,
,2810,986,14,9,,5,1,,
,3236,986,18,9,,5,1,,
,11414,986,31,28,,5,1,,
,11599,986,29,9,,5,1,,
,78,987,7,7,,,1,,
,157,987,5,7,,,1,,
,305,987,4,7,,,1,,
,433,987,3,7,,,1,,
,1091,987,1,7,,,1,,
,1204,987,2,7,,,1,,
,1220,987,8,7,,1,1,,
,1513,987,10,7,,1,1,,
,1722,987,11,0,,10,1,,
,158,988,5,2,,,1,,
,209,988,6,2,,,1,,
,306,988,4,2,,,1,,
,434,988,3,2,,,1,,
,1092,988,1,2,,,1,,
,1205,988,2,2,,,1,,
,79,989,7,1,,,1,,
,159,989,5,1,,,1,,
,210,989,6,1,,,1,,
,307,989,4,1,,,1,,
,435,989,3,1,,,1,,
,1093,989,1,1,,,1,,
,1206,989,2,1,,,1,,
,1231,989,8,1,,5,1,,
,1416,989,10,1,,5,1,,
,1724,989,11,0,,10,1,,
,2812,989,14,1,,5,1,,
,3230,989,18,1,,5,1,,
,6499,989,29,1,,5,1,,
,9715,989,45,0,,5,1,,
,14496,989,36,3,23,3,1,,
,16018,989,33,1,8,3,1,,
,80,990,7,11,,,1,,
,160,990,5,11,,,1,,
,211,990,6,11,,,1,,
,308,990,4,11,,,1,,
,436,990,3,11,,,1,,
,1094,990,1,11,,,1,,
,81,991,7,5,,,1,,
,161,991,5,5,,,1,,
,212,991,6,5,,,1,,
,309,991,4,5,,,1,,
,437,991,3,5,,,1,,
,1095,991,1,5,,,1,,
,1207,991,2,5,,,1,,
,1721,991,11,0,,10,1,,
,14466,991,35,5,,1,1,,
,82,992,7,3,,,1,,
,162,992,5,3,,,1,,
,213,992,6,3,,,1,,
,310,992,4,3,,,1,,
,438,992,3,3,,,1,,
,1096,992,1,3,,,1,,
,1230,992,8,2,,5,1,,
,1417,992,10,2,,5,1,,
,1719,992,11,0,,5,1,,
,1793,992,12,2,,5,1,,
,2515,992,15,12,,10,1,,
,2821,992,14,3,,5,1,,
,3231,992,18,2,,5,1,,
,3232,992,18,3,,5,1,,
,14416,992,29,2,,4,1,,
,14417,992,31,2,,4,1,,
,14440,992,32,2,,4,1,,
,16019,992,33,3,23,5,1,,
,83,993,7,8,,,1,,
,163,993,5,8,,,1,,
,214,993,6,8,,,1,,
,311,993,4,8,,,1,,
,439,993,3,8,,,1,,
,1097,993,1,8,,,1,,
,1208,993,2,8,,,1,,
,1229,993,8,8,,5,1,,
,1418,993,10,8,,5,1,,
,2811,993,14,8,,5,1,,
,3249,993,18,8,,5,1,,
,3492,993,38,0,,3,1,,
,84,994,7,10,,,1,,
,164,994,5,10,,,1,,
,215,994,6,10,,,1,,
,312,994,4,10,,,1,,
,440,994,3,10,,,1,,
,1098,994,1,10,,,1,,
,1209,994,2,10,,,1,,
,1228,994,8,10,,5,1,,
,1419,994,10,10,,5,1,,
,1792,994,12,10,,5,1,,
,2805,994,14,10,,5,1,,
,3237,994,18,10,,5,1,,
,313,995,4,1,,,1,,
,441,995,3,1,,,1,,
,1099,995,1,1,,,1,,
,1210,995,2,1,,,1,,
,1347,995,8,11,,5,1,,
,1383,995,8,21,,1,1,,
,1420,995,10,11,,5,1,,
,1790,995,12,11,,5,1,,
,3238,995,18,11,,5,1,,
,442,996,3,2,,,1,,
,1100,996,1,2,,,1,,
,1211,996,2,2,,,1,,
,1389,996,8,22,,10,1,,
,14401,996,29,2,,5,1,,
,14414,996,31,2,,5,1,,
,14436,996,32,2,,5,1,,
,14519,996,39,0,,3,1,,
,204,997,7,6,,,1,,
,337,997,2,6,,,1,,
,1101,997,1,6,,,1,,
,7418,997,31,6,,3,1,,
,7426,997,32,6,,3,1,,
,85,998,7,12,21,27,1,,
,165,998,5,12,21,27,1,,
,216,998,6,12,21,27,1,,
,314,998,4,12,21,27,1,,
,338,998,2,12,21,27,1,,
,443,998,3,12,21,27,1,,
,1102,998,1,12,21,27,1,,
,1227,998,8,12,21,10,1,,
,1786,998,12,12,21,10,1,,
,2513,998,15,12,21,10,1,,
,2783,998,14,12,21,10,1,,
,3490,998,38,0,21,27,1,,
,9710,998,45,0,21,27,1,,
,14456,998,35,12,21,27,1,,
,14493,998,36,12,21,27,1,,
,16016,998,33,12,21,27,1,,
,86,1000,7,5,,,1,,
,166,1000,5,5,,,1,,
,315,1000,4,5,,,1,,
,339,1000,2,5,,,1,,
,444,1000,3,5,,,1,,
,1103,1000,1,5,,,1,,
,1226,1000,8,12,,16,1,,
,1421,1000,10,12,,16,1,,
,2514,1000,15,12,,10,1,,
,2782,1000,14,12,,10,1,,
,8498,1000,29,7,,27,1,,
,282,1001,4,7,,,1,,
,391,1001,3,7,,,1,,
,1014,1001,1,7,,,1,,
,1156,1001,2,7,,,1,,
,1713,1001,11,0,,20,1,,
,392,1002,3,2,,,1,,
,1015,1002,1,2,,,1,,
,1157,1002,2,2,,,1,,
,393,1003,3,10,,,1,,
,738,1003,5,10,,,1,,
,817,1003,4,10,,,1,,
,1016,1003,1,10,,,1,,
,1158,1003,2,10,,,1,,
,1342,1003,8,10,,1,1,,
,1580,1003,10,10,,1,1,,
,1784,1003,12,10,,1,1,,
,2802,1003,14,10,,1,1,,
,3183,1003,18,10,,1,1,,
,1017,1004,1,10,,,1,,
,394,1005,3,4,,,1,,
,739,1005,5,4,,,1,,
,1018,1005,1,4,,,1,,
,1305,1005,8,4,,1,1,,
,1473,1005,10,4,,1,1,,
,376,1006,3,4,,,1,,
,978,1006,1,4,,,1,,
,1385,1006,8,4,,1,1,,
,1474,1006,10,4,,1,1,,
,979,1007,1,1,,,1,,
,980,1008,1,11,,,1,,
,1140,1008,2,11,,,1,,
,1370,1008,8,11,,7,1,,
,981,1009,1,11,,,1,,
,377,1010,3,10,,,1,,
,726,1010,5,10,,,1,,
,982,1010,1,10,,,1,,
,1141,1010,2,10,,,1,,
,1261,1010,8,10,,7,1,,
,1571,1010,10,10,,7,1,,
,1783,1010,12,10,,7,1,,
,2803,1010,14,10,,7,1,,
,983,1011,1,10,,,1,,
,1262,1011,8,10,,1,1,,
,1572,1011,10,10,,1,1,,
,378,1013,3,7,,,1,,
,727,1013,5,7,,,1,,
,841,1013,4,7,,,1,,
,984,1013,1,7,,,1,,
,1142,1013,2,7,,,1,,
,1249,1013,8,7,,9,1,,
,1515,1013,10,7,,9,1,,
,10409,1013,29,28,,20,1,,
,985,1014,1,3,,,1,,
,2246,1014,13,26,,20,1,,
,14479,1014,36,3,11,20,1,,
,379,1015,3,5,,,1,,
,728,1015,5,5,,,1,,
,986,1015,1,5,,,1,,
,987,1016,1,6,,,1,,
,2759,1016,14,8,,1,1,,
,988,1017,1,,,,1,,
,2691,1017,14,3,17,1,1,,
,3043,1017,17,3,17,1,1,,
,3103,1017,18,3,17,1,1,,
,989,1018,1,,,,1,,
,990,1019,1,3,,,1,,
,991,1021,1,3,,,1,,
,992,1022,1,3,,,1,,
,14412,1022,31,2,,20,1,,
,729,1023,5,10,,,1,,
,853,1023,4,10,,,1,,
,993,1023,1,10,,,1,,
,1331,1023,8,10,,1,1,,
,1578,1023,10,10,,1,1,,
,2797,1023,14,10,,1,1,,
,3185,1023,18,10,,1,1,,
,380,1024,3,4,,,1,,
,994,1024,1,4,,,1,,
,1143,1024,2,4,,,1,,
,995,1025,1,7,,,1,,
,996,1026,1,7,,,1,,
,34,1027,7,12,,,1,,
,319,1027,4,12,,,1,,
,381,1027,3,12,,,1,,
,730,1027,5,12,,,1,,
,997,1027,1,12,,,1,,
,1144,1027,2,12,,,1,,
,1225,1027,8,12,,9,1,,
,1422,1027,10,12,,9,1,,
,3248,1027,18,7,,9,1,,
,7401,1027,29,6,,27,1,,
,7414,1027,31,6,,27,1,,
,7422,1027,32,6,,27,1,,
,35,1028,7,12,,,1,,
,320,1028,4,12,,,1,,
,382,1028,3,12,,,1,,
,731,1028,5,12,,,1,,
,998,1028,1,12,,,1,,
,1145,1028,2,12,,,1,,
,1224,1028,8,12,,9,1,,
,1423,1028,10,12,,9,1,,
,3251,1028,18,5,,9,1,,
,9400,1028,31,21,,27,1,,
,9597,1028,29,21,,27,1,,
,36,1029,7,12,,,1,,
,301,1029,4,12,,,1,,
,383,1029,3,12,,,1,,
,732,1029,5,12,,,1,,
,999,1029,1,12,,,1,,
,1146,1029,2,12,,,1,,
,384,1030,3,1,,,1,,
,1000,1030,1,1,,,1,,
,1147,1030,2,1,,,1,,
,1001,1031,1,11,,,1,,
,385,1032,3,2,,,1,,
,733,1032,5,2,,,1,,
,1002,1032,1,2,,,1,,
,1148,1032,2,2,,,1,,
,386,1033,3,9,,,1,,
,734,1033,5,9,,,1,,
,1003,1033,1,9,,,1,,
,1149,1033,2,9,,,1,,
,1255,1033,8,9,,14,1,,
,1548,1033,10,9,,14,1,,
,387,1034,3,8,,,1,,
,562,1034,6,8,,,1,,
,735,1034,5,8,,,1,,
,1004,1034,1,8,,,1,,
,1150,1034,2,8,,,1,,
,1299,1034,8,8,,7,1,,
,1485,1034,10,8,,7,1,,
,2772,1034,14,8,,1,1,,
,1005,1035,1,5,,,1,,
,1006,1036,1,5,,,1,,
,1151,1036,2,5,,,1,,
,1223,1036,8,5,,5,1,,
,1424,1036,10,5,,5,1,,
,4498,1036,29,5,,5,1,,
,1007,1038,1,2,,,1,,
,1152,1038,2,2,,,1,,
,1008,1039,1,1,,,1,,
,1009,1040,1,10,,,1,,
,1341,1040,8,10,,1,1,,
,1579,1040,10,10,,1,1,,
,37,1041,7,6,,,1,,
,71,1041,6,6,,,1,,
,736,1041,5,6,,,1,,
,855,1041,4,6,,,1,,
,1010,1041,1,6,,,1,,
,1153,1041,2,6,,,1,,
,5006,1041,34,6,8,1,1,,
,388,1042,3,4,,,1,,
,1011,1042,1,4,,,1,,
,1154,1042,2,4,,,1,,
,1304,1042,8,4,,1,1,,
,1469,1042,10,4,,1,1,,
,389,1043,3,1,,,1,,
,737,1043,5,1,,,1,,
,1012,1043,1,1,,,1,,
,1155,1043,2,1,,,1,,
,390,1044,3,10,,,1,,
,1013,1044,1,10,,,1,,
,1245,1044,8,10,,14,1,,
,1570,1044,10,10,,14,1,,
,3250,1044,18,10,,7,1,,
,1019,1045,1,5,,,1,,
,1020,1046,1,7,,,1,,
,1159,1046,2,7,,,1,,
,1363,1046,8,7,,1,1,,
,1514,1046,10,7,,1,1,,
,395,1047,3,6,,,1,,
,1021,1047,1,6,,,1,,
,72,1048,6,6,,,1,,
,396,1048,3,6,,,1,,
,740,1048,5,6,,,1,,
,842,1048,4,6,,,1,,
,1022,1048,1,6,,,1,,
,1160,1048,2,6,,,1,,
,1024,1050,1,6,,,1,,
,397,1051,3,10,,,1,,
,1161,1051,2,10,,,1,,
,73,1052,6,2,,,1,,
,398,1052,3,2,,,1,,
,742,1052,5,2,,,1,,
,832,1052,4,2,,,1,,
,1162,1052,2,2,,,1,,
,399,1053,3,6,,,1,,
,1163,1053,2,6,,,1,,
,400,1054,3,4,,,1,,
,1164,1054,2,4,,,1,,
,401,1055,3,6,,,1,,
,1165,1055,2,6,,,1,,
,93,1056,6,2,,,1,,
,402,1056,3,2,,,1,,
,743,1056,5,2,,,1,,
,836,1056,4,2,,,1,,
,1166,1056,2,2,,,1,,
,38,1057,7,1,,,1,,
,94,1057,6,1,,,1,,
,403,1057,3,1,,,1,,
,744,1057,5,1,,,1,,
,837,1057,4,1,,,1,,
,1167,1057,2,1,,,1,,
,1168,1058,2,5,,,1,,
,96,1059,6,8,,,1,,
,404,1059,3,8,,,1,,
,745,1059,5,8,,,1,,
,1169,1059,2,8,,,1,,
,1300,1059,8,8,,1,1,,
,1483,1059,10,8,,1,1,,
,405,1060,3,1,,,1,,
,1170,1060,2,1,,,1,,
,1312,1060,8,1,,1,1,,
,1563,1060,10,1,,1,1,,
,95,1061,6,11,,,1,,
,406,1061,3,11,,,1,,
,746,1061,5,11,,,1,,
,838,1061,4,11,,,1,,
,1171,1061,2,11,,,1,,
,1172,1063,2,1,,,1,,
,407,1064,3,2,,,1,,
,747,1064,5,2,,,1,,
,1173,1064,2,2,,,1,,
,408,1065,3,2,,,1,,
,1174,1065,2,2,,,1,,
,1364,1065,8,2,,12,1,,
,1459,1065,10,2,,12,1,,
,409,1066,3,2,,,1,,
,1175,1066,2,2,,,1,,
,1106,1068,2,2,,,1,,
,131,1069,5,2,,,1,,
,342,1069,3,2,,,1,,
,1107,1069,2,2,,,1,,
,1176,1069,2,2,,,1,,
,132,1070,5,4,,,1,,
,343,1070,3,4,,,1,,
,1108,1070,2,4,,,1,,
,344,1071,3,4,,,1,,
,1109,1071,2,4,,,1,,
,1344,1071,8,4,,7,1,,
,1476,1071,10,4,,7,1,,
,133,1072,5,1,,,1,,
,345,1072,3,1,,,1,,
,1110,1072,2,1,,,1,,
,346,1073,3,1,,,1,,
,1111,1073,2,1,,,1,,
,1307,1073,8,1,,1,1,,
,1544,1073,10,1,,1,1,,
,1112,1074,2,2,,,1,,
,1113,1075,2,2,,,1,,
,1115,1077,2,4,,,1,,
,347,1078,3,7,,,1,,
,1116,1078,2,7,,,1,,
,1353,1078,8,7,,12,1,,
,1506,1078,10,7,,12,1,,
,1117,1079,2,6,,,1,,
,348,1080,3,1,,,1,,
,1118,1080,2,1,,,1,,
,1119,1081,2,6,,,1,,
,1120,1082,2,5,,,1,,
,1,1083,7,12,,,1,,
,2,1083,6,12,,,1,,
,134,1083,5,12,,,1,,
,317,1083,4,12,,,1,,
,1121,1083,2,12,,,1,,
,1222,1083,8,12,,10,1,,
,1425,1083,10,12,,10,1,,
,1739,1083,11,0,,10,1,,
,1796,1083,12,12,,10,1,,
,2786,1083,14,12,,10,1,,
,3498,1083,38,0,,27,1,,
,349,1084,3,1,,,1,,
,1122,1084,2,1,,,1,,
,1359,1084,8,1,,1,1,,
,1557,1084,10,1,,1,1,,
,1123,1085,2,2,,,1,,
,135,1086,5,9,,,1,,
,1350,1086,8,9,,7,1,,
,1549,1086,10,9,,7,1,,
,136,1088,5,12,,,1,,
,192,1088,6,12,,,1,,
,1398,1088,8,2,,8,1,,
,1562,1088,10,1,,8,1,,
,1730,1088,11,0,,8,1,,
,6,1089,6,1,,,1,,
,352,1089,3,1,,,1,,
,834,1089,4,1,,,1,,
,137,1090,5,6,,,1,,
,138,1091,5,2,,,1,,
,354,1091,3,2,,,1,,
,1268,1091,8,2,,1,1,,
,1458,1091,10,2,,1,1,,
,1714,1091,11,0,,3,1,,
,1780,1091,12,2,,1,1,,
,2506,1091,15,0,,1,1,,
,14420,1091,29,2,,20,1,,
,14421,1091,31,2,,4,1,,
,14441,1091,32,2,,4,1,,
